Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Afghanistan,2000,1.613591,6.2,9.22,20000,44.99,0.16,0,0.31,65.95744,302.59482,1.64,760,,,,60,652230,33.93911,67.709953
Albania,2000,100,38.2,,,,0.14,0,4.55,97.01493,9029.4375,4.13,3170,,6.94621659,1126.68334,105,28748,41.153332,20.168331
Algeria,2000,98.9731,97.1,8.91,,0.43,23.84,0,0.05,0.20929259,9746.524,4.18,80050,0.05323548,3.8,1765.02715,18,2381741,28.033886,1.659626
Angola,2000,24.212744,41.1,14.37,,73.44,0.5,0,0.9,64.28571,1979.2562,3.68,16200,,3.05462423,556.838632,26,1246700,-11.202692,17.873887
Antigua and Barbuda,2000,97.68926,100,0,,0,0.14,0,0,0,28457.223,3.13,330,,6.20343125,10872.293,223,443,17.060816,-61.796428
Argentina,2000,95.78329,95,235.62,,9.85,50.37,5.99,28.89,40.914955,18849.81,3.69,132270,12.283858,-0.7889989,7708.09912,17,2780400,-38.416097,-63.616672
Armenia,2000,98.9,79.5,333.66,,7.16,2.53,1.84,1.25,54.98221,9270.454,6.79,3560,,5.9,622.740923,104,29743,40.069099,45.038189
Aruba,2000,91.6604,,0,,0.18,0.73,0,0,0,49568.207,14.38,2379.883,,7.61658819,20617.7505,590,179,12.52111,-69.96833
Australia,2000,100,100,,,8.42,181.05,0,17.11,8.634437,68632.96,6.16,339450,3.9888778,3.91242773,21697.7085,3,7741220,-25.274398,133.775136
Austria,2000,100,100,,,26.44,16.41,0,43.44,72.58146,48863.28,3.22,63530,32.954258,3.37572215,24564.4583,109,83871,47.516231,14.550072
Azerbaijan,2000,98.908226,70.3,113.51,4880000,2.07,16.13,0,1.52,8.611898,16123.289,14.46,27690,3.446014,11.0999995,655.119945,123,86600,40.143105,47.576927
Bahamas,2000,100,100,0,,0,1.57,0,0,0,50650.19,2.33,,,,,41,13878,25.025885,-78.035889
Bahrain,2000,100,100,0,,0,13.02,0,0,0,157253.03,10.43,15880,,5.30007006,13636.4168,"2,239",765,26.0667,50.5577
Bangladesh,2000,32,8.3,1.8,3010000,59.06,13.93,0,0.94,6.3214526,1053.6212,3.14,21650,1.6270727,5.29329472,418.068942,"1,265",148460,23.684994,90.356331
Barbados,2000,100,100,0,,14.32,0.76,0,0,0,26318.064,3.83,1240,,4.44718962,11268.4201,668,430,13.193887,-59.543198
